subject, content
LV,인생은 타이밍이다.
,말하기보다 들어라
,솔직함이 필요하다.
,상대는 기다리고 있다.
,기회가 코 앞에 있다.
,적극적으로 행동하라.
,가끔은 의지하라.
,확실하게 행동하라.
,변화가 필요하다.
,변화가 생기고 있다.
,감정을 숨기지 마라.
,소통이 필요하다.
,설마가 사람 잡는다.
,가까운 곳에 있다.
,먼저 한발 다가서라.
,일단 만나라.
,감정적으로 행동하지 알라.
,한 번 더 생각하고 말하라.
,만남을 자주 가져라.
,마음을 잘 다스려라.
,각자의 시간을 가져라.
,때를 기다려라.
,감정을 직면하라.
,아직 마음을 티 내지 마라.
,주도권을 잡아라.
,공과 사를 구분하라.
,가까운 곳에 있다.
,자신의 마음을 표현하라.
,적극적으로 연락하라.
,신호를 잘 포착하라.
,지금을 즐겨라.
,양보가 필요하다.
,자신감을 가져라.
,새로운 인연이 나타난다.
,놓치고 후회하지 마라.
,가끔은 딱 잘라 거절하라.
,생각을 정리하라.
,감정을 쌓아 두지 마라.
,타협이 필요하다.
,기다리지 말고 먼저 행동하라.
,말보다 행동이 중요하다.
,자신을 마음껏 드러내라.
,너무 경계하지 마라.
,상대를 눈 여겨 보라.
,지난 것에 미련 갖지 마라.
,자신에게 솔직해져라.
,배려하면 보답받게 된다.
,급할수록 돌아가라.
,속마음을 한 번에 드러내지 마라.
,약속은 꼭 지켜라. 
MN,상황을 잘 관찰하라.
,정신 바짝 차려라.
,욕심을 버려라.
,쓸 땐 써라.
,지금이 기회이다.
,합리적으로 행동하라.
,기다려야 할 때이다.
,시간이 해결해 준다.
,섣부른 판단을 하지 마라.
,단순하게 생각하라.
,작은 것에 연연하지 마라.
,많은 것이 되돌아온다.
,신속한 판단이 필요하다.
,신중하게 행동하라.
,유혹을 뿌리쳐라.
,아직은 때가 아니다.
,평정을 유지하라.
,한 번 더 생각하라.
,좋은 소식이 기다리고 있다.
,충동적인 선택은 자제하라.
,가만히 있지 말고 움직여라.
,시간이 금이다.
,여유가 필요하다.
,모으는 것보다 지키는 것이 어렵다.
,다양한 것을 따져보라.
,적극적으로 움직여라.
,때를 놓치지 마라.
,자신의 판단을 우선하라.
,미래를 내다보라.
,미래는 만들어가는 것이다.
,원칙을 따르라.
,준비한 만큼 보상이 온다.
,성실함이 필요하다.
,요행을 바라지 마라.
,판단에 자신감을 가져라.
,가끔은 휴식이 필요하다.
,정보를 모아라.
,자신의 실속을 챙겨라.
,손해를 볼 수도 있다.
,타인과 의논하라.
,당연한 것도 의심하라.
,실수를 되풀이하지 마라.
,자신만의 소신을 지켜라.
,잘 되지 않더라도 밀고 나가라.
,주변에 휘둘리지 마라.
,현명하게 판단해야 한다.
,조심성이 필요하다.
,확실한 결단력이 필요하다.
,수동적이기보다 능동적으로 움직여라.
,유연하게 생각하라.
FT, 스스로를 믿을 때이다.
,사소한 것에 목숨을 걸어서는 안된다.
,위기가 있으나 잘 해쳐 나간다.
,자신의 주관에 따르라.
,준비된 것에 자신감을 가져라.
,전체적인 점검이 필요하다.
,인생은 짧다.
,위기가 있으나 침착함을 유지하라.
,미리미리 대비하라.
,남의 떡이 커 보인다.
,행동으로 옮겨라.
,원래 계획한대로 행동하라.
,여유를 가져라.
,지난 일은 잊어라.
,혼자 모든 것을 해결하려고 하지 마라.
,긴장하지 마라.
,마무리가 중요하다.
,앞으로의 계획을 세워라.
,해 볼 만하다.
,뭐든지 잘 풀린다.
,생각한 대로 진행된다.
,겁먹지 마라.
,천 리 길도 한 걸음부터
,별 탈 없이 지나간다.
,순차적으로 일을 처리하라.
,원하는 것을 얻을 수 있다.
,마음이 가는 대로 행동하라.
,마음을 비워라.
,급할수록 돌아가라.
,휴식이 필요하다.
,소신껏 행동하라.
,재정비하는 시간을 가져라.
,힘을 합치면 쉽게 해결된다.
,변화를 시도하라.
,우연 속에 행운이 있다.
,자신 먼저 생각하라.
,다른 곳에 한 눈 팔지 말라.
,고민하던 것이 깨끗이 해결된다.
,뜻하지 않은 행운이 찾아온다.
,싸움도 두려워하지 마라.
,끝까지 포기하지 마라.
,중간중간 쉬어가라.
,급하게 행동하지 마라.
,차분하게 행동하라.
,조급해하지 말고 상황을 지켜보라.
,능력을 인정받게 된다.
,생각을 확실하게 표현하라.
,기대하는 결과를 볼 수 있다.
,기회는 가까이에 있다.
,꾸준함을 유지하라.
